tinh,huyen,xa,diaban,hoso,matv,m4ac11,m4ac12f,m4ac21,m4ac22f,m4ac25,household_id,Total Individual Income,Total Household Income,m1ac3,m1ac2,household_size,m1ac5
101,1,3.0,1,14,1,39528.0,2823,0.0,0,0.0,"101, 1, 3, 1, 14",42351.0,56468.0,1,1,3,64
101,1,3.0,1,15,1,0.0,0,0.0,0,0.0,"101, 1, 3, 1, 15",0.0,42351.0,1,1,2,61
101,1,9.0,19,15,1,0.0,0,0.0,0,0.0,"101, 1, 9, 19, 15",0.0,0.0,1,1,2,50
101,1,9.0,19,20,1,33061.0,918,0.0,0,0.0,"101, 1, 9, 19, 20",33979.0,47203.0,1,1,3,50
101,1,15.0,50,13,1,79055.0,12800,0.0,0,0.0,"101, 1, 15, 50, 13",91855.0,163382.0,1,1,4,35
101,1,15.0,50,14,1,56468.0,18822,0.0,0,0.0,"101, 1, 15, 50, 14",75290.0,152463.0,1,1,3,27
101,1,15.0,50,15,1,39528.0,8094,0.0,0,0.0,"101, 1, 15, 50, 15",47622.0,114443.0,1,1,4,54
101,1,17.0,2,14,1,33061.0,5051,0.0,0,0.0,"101, 1, 17, 2, 14",38112.0,38112.0,1,1,3,57
101,1,23.0,18,29,1,0.0,0,0.0,0,0.0,"101, 1, 23, 18, 29",0.0,0.0,1,1,3,32
101,3,3.0,23,13,1,0.0,0,0.0,0,0.0,"101, 3, 3, 23, 13",0.0,0.0,1,1,4,46
101,3,3.0,23,15,1,15702.0,5670,0.0,0,0.0,"101, 3, 3, 23, 15",21372.0,33585.0,1,1,4,46
101,3,11.0,9,15,1,33881.0,6870,0.0,0,0.0,"101, 3, 11, 9, 15",40751.0,91591.0,1,1,5,57
101,3,11.0,9,19,1,0.0,0,0.0,0,0.0,"101, 3, 11, 9, 19",0.0,76609.0,1,1,7,89
101,3,11.0,9,20,1,0.0,0,0.0,0,0.0,"101, 3, 11, 9, 20",0.0,12893.0,1,1,4,46
101,3,13.0,8,14,1,0.0,0,0.0,0,0.0,"101, 3, 13, 8, 14",0.0,48852.0,1,1,7,51
101,3,13.0,8,15,1,0.0,0,0.0,0,0.0,"101, 3, 13, 8, 15",0.0,0.0,1,1,7,33
101,5,3.0,17,14,1,0.0,0,0.0,0,0.0,"101, 5, 3, 17, 14",0.0,54183.0,1,1,3,63
101,5,11.0,7,14,1,0.0,0,0.0,0,0.0,"101, 5, 11, 7, 14",0.0,0.0,1,1,5,73
101,5,11.0,7,15,1,29755.0,5510,0.0,0,0.0,"101, 5, 11, 7, 15",35265.0,62081.0,1,1,5,43
101,5,17.0,18,13,1,0.0,0,0.0,0,0.0,"101, 5, 17, 18, 13",0.0,0.0,1,1,1,50
101,5,17.0,18,14,1,0.0,0,0.0,0,0.0,"101, 5, 17, 18, 14",0.0,0.0,1,1,5,53
101,5,17.0,18,19,1,0.0,0,0.0,0,0.0,"101, 5, 17, 18, 19",0.0,0.0,1,1,5,71
101,5,25.0,12,13,1,0.0,0,0.0,0,0.0,"101, 5, 25, 12, 13",0.0,16530.0,1,1,4,44
101,5,25.0,12,14,1,0.0,0,0.0,0,0.0,"101, 5, 25, 12, 14",0.0,0.0,1,1,4,42
101,5,25.0,12,15,1,27551.0,1745,0.0,0,0.0,"101, 5, 25, 12, 15",29296.0,62724.0,1,1,3,53
101,5,33.0,12,14,1,36639.0,2792,0.0,0,0.0,"101, 5, 33, 12, 14",39431.0,39431.0,1,1,4,40
101,5,33.0,12,24,1,0.0,0,0.0,0,0.0,"101, 5, 33, 12, 24",0.0,39168.0,1,1,6,66
101,5,35.0,16,14,1,25976.0,6557,0.0,0,0.0,"101, 5, 35, 16, 14",32533.0,32533.0,1,1,4,45
101,5,35.0,16,15,1,0.0,0,0.0,0,0.0,"101, 5, 35, 16, 15",0.0,23353.0,1,1,4,62
101,5,35.0,16,19,1,35265.0,7126,0.0,0,0.0,"101, 5, 35, 16, 19",42391.0,42391.0,1,1,4,44
101,6,1.0,10,13,1,0.0,0,0.0,0,0.0,"101, 6, 1, 10, 13",0.0,20587.0,1,1,4,37
101,6,7.0,17,13,1,0.0,0,0.0,0,0.0,"101, 6, 7, 17, 13",0.0,20866.0,1,1,6,72
101,6,7.0,17,14,1,0.0,0,0.0,0,0.0,"101, 6, 7, 17, 14",0.0,0.0,1,1,4,38
101,6,7.0,17,19,1,31224.0,3215,0.0,0,0.0,"101, 6, 7, 17, 19",34439.0,50969.0,1,1,4,34
101,6,11.0,12,13,1,0.0,0,0.0,0,0.0,"101, 6, 11, 12, 13",0.0,10178.0,1,1,7,67
101,6,11.0,12,15,1,13552.0,3294,0.0,0,0.0,"101, 6, 11, 12, 15",16846.0,23434.0,1,1,3,26
101,6,21.0,13,14,1,0.0,0,0.0,0,0.0,"101, 6, 21, 13, 14",0.0,0.0,1,1,2,63
101,6,25.0,5,13,1,0.0,0,0.0,0,0.0,"101, 6, 25, 5, 13",0.0,26283.0,1,1,5,47
101,6,25.0,5,14,1,0.0,0,3140.0,175,0.0,"101, 6, 25, 5, 14",3315.0,34040.0,1,1,5,53
101,6,27.0,5,13,1,0.0,0,0.0,0,0.0,"101, 6, 27, 5, 13",0.0,0.0,1,1,2,69
101,6,27.0,5,14,1,0.0,0,0.0,0,0.0,"101, 6, 27, 5, 14",0.0,24773.0,1,1,4,51
101,6,27.0,5,15,1,15702.0,436,0.0,0,0.0,"101, 6, 27, 5, 15",16138.0,16138.0,1,1,4,37
101,7,3.0,19,14,1,0.0,0,0.0,0,0.0,"101, 7, 3, 19, 14",0.0,0.0,1,1,5,40
101,7,3.0,19,15,1,73407.0,11293,0.0,0,0.0,"101, 7, 3, 19, 15",84700.0,155284.0,1,1,5,42
101,7,11.0,15,14,1,0.0,0,0.0,0,0.0,"101, 7, 11, 15, 14",0.0,20063.0,1,1,5,54
101,7,11.0,15,15,1,0.0,0,0.0,0,0.0,"101, 7, 11, 15, 15",0.0,158864.0,1,1,5,75
101,7,19.0,25,13,1,0.0,0,0.0,0,0.0,"101, 7, 19, 25, 13",0.0,63183.0,1,1,5,75
101,7,21.0,16,15,1,0.0,0,0.0,0,0.0,"101, 7, 21, 16, 15",0.0,79015.0,1,1,6,92
101,7,21.0,16,20,1,0.0,0,0.0,0,0.0,"101, 7, 21, 16, 20",0.0,28119.0,1,1,4,50
101,7,27.0,3,13,1,0.0,0,0.0,0,0.0,"101, 7, 27, 3, 13",0.0,0.0,1,1,4,55
101,7,27.0,3,14,1,0.0,0,0.0,0,0.0,"101, 7, 27, 3, 14",0.0,0.0,1,1,2,57
101,7,27.0,3,15,1,23029.0,2181,0.0,0,0.0,"101, 7, 27, 3, 15",25210.0,53300.0,1,1,5,56
101,7,33.0,21,15,1,50821.0,11388,0.0,0,0.0,"101, 7, 33, 21, 15",62209.0,106820.0,1,1,3,50
101,7,33.0,21,20,1,0.0,0,0.0,0,0.0,"101, 7, 33, 21, 20",0.0,0.0,1,1,4,53
101,7,33.0,21,24,1,0.0,0,0.0,0,0.0,"101, 7, 33, 21, 24",0.0,0.0,1,1,4,42
101,7,37.0,15,13,1,0.0,0,0.0,0,0.0,"101, 7, 37, 15, 13",0.0,78915.0,1,1,4,61
101,7,37.0,15,14,1,0.0,0,0.0,0,0.0,"101, 7, 37, 15, 14",0.0,0.0,1,1,2,79
