m1ac5,Value of Household Asset,Average Annual Consumption - All Categories,Average Household Working Hours
25,992.3809523809524,7954.677120181406,0.23631405377980721
26,3214.423076923077,6292.520128205128,0.1908844104905749
27,14660.048780487805,6391.23887340302,0.208197553550878
28,12157.931034482759,6040.14288998358,0.21191347819241063
29,36167.820512820515,6382.397124542125,0.21113233227959255
30,21858.620689655174,7818.029696223317,0.2105967564163124
31,20839.926470588234,6744.754885620915,0.22484868833378102
32,8869.358974358975,6426.28306013431,0.22680216156243552
33,171111.62790697673,6157.2021719269105,0.21961858716089175
34,33312.11956521739,6038.044790372672,0.20752316193501424
35,13894.086538461539,6697.8606753663,0.21217942323890587
36,23781.650485436894,6254.510499306518,0.2187118189475551
37,39477.008,5824.217868571429,0.21315827788649705
38,23662.76430894309,5979.4470760743325,0.20873739342416256
39,29782.056737588653,6155.454467522233,0.21342224219264438
40,22632.942446043166,6986.744991435423,0.21252770386430583
41,23274.788732394365,5988.2987963894475,0.20393445719981992
42,38334.52205882353,7313.238316701681,0.2183299086757991
43,26568.207650273223,6944.4220728163755,0.2120374736964676
44,32431.455621301775,6938.2687080867845,0.21595329766826082
45,31958.74418604651,7117.424873227547,0.2077407332796132
46,45193.955555555556,7901.041588557532,0.21931813075306228
47,39404.234042553195,7109.714401666104,0.20909061714001964
48,30552.08860759494,7500.865203686961,0.22375396171704912
49,32247.153284671534,8206.97986791797,0.22153224756889392
50,35238.49375,9115.877153814934,0.2152276636913363
51,54300.808,8723.58132095238,0.21348438738435424
52,23729.098039215685,7949.345889355742,0.19938941596425483
53,41145.37984496124,9435.148009664754,0.2091997971572047
54,134745.13274336283,8292.867885779413,0.21678014603020665
55,19995.555555555555,7932.9173109267285,0.20990073868036774
56,31152.235294117647,9181.356026610645,0.2157154645981185
57,34769.63451612903,8705.26322665984,0.2077237785624474
58,19340.77792207792,8879.210559678417,0.20712359619893864
59,26389.848484848484,7277.762914152346,0.20224293497206086
60,65426.153846153844,8865.08962162837,0.21306662162581927
61,46793.25581395349,9733.930033390381,0.21892109366299142
62,70414.58333333333,6895.079685019841,0.17902436848275144
63,28697.194444444445,9144.228787477954,0.2025065669956302
64,39436.666666666664,8238.015238095239,0.20313308599695584
65,21286.344827586207,7171.129718117132,0.1705417252078211
66,24048.529411764706,8858.753760504202,0.21358762604642312
67,11377.6,8876.854738095239,0.19418822932521562
68,277105.1282051282,8296.791764346764,0.18917913257864027
69,35445.0,8263.013309990663,0.19473623795027906
70,10874.285714285714,6159.109736961452,0.1709239528722025
71,13919.69696969697,7293.675436507936,0.20024064208805456
72,20357.14285714286,8625.358469387755,0.23020928462709284
73,33670.434782608696,7090.48748447205,0.1921108151530526
74,12920.588235294117,6763.868333333333,0.20903867441538676
75,23766.0,8410.222726190475,0.22195986541696708
76,30503.333333333332,5623.092420634921,0.19402460679857944
77,2252.9411764705883,10574.63512605042,0.205441400304414
78,7340.0,6991.719733333334,0.24258531875459466
79,12763.333333333334,7396.81041005291,0.24346189388997608
80,994.4444444444445,7301.189351851852,0.20560709838107097
81,13292.857142857143,5950.0284183673475,0.17901826484018266
82,3914.285714285714,4957.82380952381,0.20563165905631658
83,1500.0,6898.1338888888895,0.20727739726027397
84,48000.0,7827.384722222222,0.2197488584474886
85,0.0,11696.575,0.17214611872146118
86,4440.0,6082.876666666667,0.17748604769152718
87,0.0,5542.316666666667,0.3065068493150685
88,733.3333333333334,3516.9277777777784,0.14292237442922373
89,0.0,9238.447142857143,0.24946727549467276
90,3000.0,3552.5499999999997,
91,0.0,1275.6777777777777,0.23318112633181126
92,600.0,17538.183333333334,0.2502283105022831
93,0.0,2884.7,
94,0.0,4028.0,
95,0.0,5388.950000000001,
